state,city,population,incident_count,per_capita,lat,lng
Connecticut,New Milford,28162,3,10.652652510475107,,
Missouri,Ballwin,31151,3,9.630509453950115,38.595,-90.55
Georgia,Oconee County,41799,3,7.177205196296562,,
New Hampshire,Derry,34320,3,8.741258741258742,,
Georgia,Newton County,112483,3,2.667069690531014,,
Kentucky,Independence,28557,3,10.505305179115453,38.951,-84.5492
West Virginia,Mason County,25453,3,11.786429890386202,,
California,Stanislaus County,552878,3,0.5426151881608601,,
Kentucky,Knox County,30193,3,9.936077898850726,,
Kansas,Shawnee County,178909,3,1.6768301203405083,,
New Hampshire,Concord,43694,3,6.865931249141759,43.2305,-71.5595
Kentucky,Pulaski County,65034,3,4.612971676353907,,
Texas,Friendswood,41218,3,7.278373526129361,29.511,-95.1981
Nevada,Washoe County,486492,3,0.6166596778569843,,
California,Encinitas,62082,3,4.832318546438581,33.0492,-117.261
Georgia,Paulding County,168661,3,1.7787158857115752,,
Texas,Harlingen,71802,3,4.178156597309267,26.1916,-97.6977
Georgia,Peachtree City,38248,3,7.843547375026145,33.3942,-84.571
California,Brawley,26443,3,11.345157508603412,32.9783,-115.5287
California,Beverly Hills,32782,3,9.151363553169423,34.0786,-118.4021
California,Benicia,27092,3,11.073379595452533,38.0725,-122.1526
California,Belmont,28313,3,10.595839367075195,37.5154,-122.2953
New Jersey,Garfield,32662,3,9.18498561018921,40.8791,-74.1085
Kentucky,Hopkins County,45423,3,6.604583581005217,,
California,Saratoga,31164,3,9.626492106276473,37.2684,-122.0263
California,Bell Gardens,39556,3,7.584184447365759,33.9663,-118.155
Kentucky,Barren County,44485,3,6.743846240305721,,
Delaware,Kent County,181851,3,1.649702228747711,,
Texas,Walker County,76400,3,3.926701570680628,,
Pennsylvania,Chester County,534413,3,0.5613635895833372,,
Texas,Gregg County,124239,3,2.414700697848502,,
New Jersey,Perth Amboy,55414,3,5.413794347998701,40.5202,-74.2724
Kentucky,Floyd County,35942,3,8.346780924823326,,
Pennsylvania,Butler County,193763,3,1.5482832119651326,,
Texas,Haltom City,46120,3,6.504770164787511,32.8176,-97.2707
Kentucky,Pike County,58669,3,5.113432988460686,,
Colorado,Adams County,519572,3,0.5773983201558205,,
California,Danville,43602,3,6.8804183294344305,37.8121,-121.9698
Kentucky,Scott County,57155,3,5.248884612019945,,
Connecticut,Southington,43476,3,6.90035881865857,,
California,East Palo Alto,30050,3,9.983361064891847,37.4671,-122.1352
California,San Juan Capistrano,35253,3,8.509914049868096,33.5008,-117.6544
Connecticut,Shelton,40872,3,7.33998825601879,41.306,-73.1383
Georgia,Toombs County,27030,3,11.098779134295228,,
Nebraska,Hastings,25175,3,11.916583912611719,40.5961,-98.39
Texas,Ector County,165171,3,1.8162994714568537,,
California,San Joaquin County,779233,3,0.3849939620113625,,
Kentucky,Bullitt County,82217,3,3.6488804018633614,,
California,El Dorado County,191185,3,1.5691607605199152,,
Kansas,Montgomery County,31486,3,9.528044210125136,,
Missouri,Lee's Summit,101160,3,2.9655990510083035,38.9171,-94.3816
California,Cupertino,60575,3,4.952538175815105,37.3168,-122.0466
Pennsylvania,York County,456438,3,0.6572634180326792,,
Montana,Flathead County,104357,3,2.874747261803233,,
Louisiana,Natchitoches Parish,37515,3,7.996801279488205,,
California,San Bruno,43906,3,6.832779119027012,37.6256,-122.4313
Connecticut,Westport,27126,3,11.059500110595001,,
Montana,Yellowstone County,164731,3,1.821150845924568,,
Texas,Hardin County,56231,2,3.5567569490138893,,
Texas,Coppell,43002,2,4.650946467606158,32.9639,-96.9903
Texas,Hidalgo County,870781,2,0.22967887448164348,,
Texas,Hale County,32522,2,6.149683291310498,,
Virginia,Campbell County,55696,2,3.590922148807814,,
Tennessee,Wilson County,147737,2,1.3537570141535296,,
Ohio,Wayne County,116894,2,1.7109518024877237,,
Ohio,Sandusky County,58896,2,3.395816354251562,,
Washington,Issaquah,40103,2,4.987158067974964,47.5439,-122.0471
Texas,Brazos County,233849,2,0.8552527485685207,,
Ohio,Pike County,27088,2,7.383343177790904,,
Texas,Jim Wells County,38891,2,5.142577974338536,,
Texas,Bell County,370647,2,0.539596975019358,,
Virginia,Albemarle County,112395,2,1.7794385871257619,,
Ohio,Stark County,374853,2,0.533542481986272,,
Ohio,North Royalton,31292,2,6.391409945033875,41.3138,-81.745
Wisconsin,West Bend,31731,2,6.302984463143298,43.4173,-88.1818
Texas,Lake Jackson,28212,2,7.08918190840777,29.0516,-95.4521
Texas,Cass County,28454,2,7.028888732691362,,
Texas,Bedford,49965,2,4.002801961372961,32.8464,-97.135
Wyoming,Laramie,31317,2,6.38630775617077,41.3099,-105.6085
Texas,Galveston County,350682,2,0.5703172674959079,,
Texas,El Paso County,865657,2,0.23103839049415648,,
Ohio,Shaker Heights,29400,2,6.802721088435374,41.4744,-81.5496
Texas,Bastrop County,97216,2,2.057274522712311,,
Washington,Des Moines,32891,2,6.080690766471071,47.3914,-122.3156
Texas,Hays County,241067,2,0.8296448705131768,,
Virginia,Caroline County,30887,2,6.475216110337682,,
Texas,Wilson County,49753,2,4.019858099009105,,
Tennessee,Rutherford County,341486,2,0.585675547460218,,
Wisconsin,Dane County,561504,2,0.35618624266256343,,
Washington,Yakima County,256728,2,0.7790346202985261,,
Pennsylvania,Luzerne County,325594,2,0.6142619335737145,,
Texas,Upshur County,40892,2,4.890932211679546,,
Utah,Kaysville,32902,2,6.078657832350617,41.029,-111.9456
Washington,Wenatchee,35394,2,5.650675255693056,47.436,-120.3295
Rhode Island,Coventry,35579,2,5.62129345962506,,
Virginia,Gloucester County,38711,2,5.166490144920049,,
Texas,Titus County,31247,2,6.400614458988064,,
Rhode Island,East Providence,47228,2,4.23477598035064,41.8065,-71.3565
Rhode Island,North Providence,34211,2,5.8460729005290695,,
Washington,Tumwater,25391,2,7.876806742546571,46.9891,-122.9175
Rhode Island,Warwick,82976,2,2.4103355187042035,41.7062,-71.4334
South Carolina,Aiken County,168808,2,1.1847779726079333,,
Oklahoma,Rogers County,95240,2,2.099958000839983,,
Texas,Southlake,31289,2,6.39202275560101,32.9545,-97.1503
Utah,Holladay,32024,2,6.245316012990258,40.66,-111.8226
West Virginia,Logan County,32567,2,6.1411858629901435,,
Texas,Midlothian,35183,2,5.684563567632095,32.4669,-96.989
Utah,Herriman,55312,2,3.6158518947063927,40.4899,-112.017
Pennsylvania,Berks County,428849,2,0.466364617849173,,
Texas,Wylie,57602,2,3.4721016631366965,33.0362,-96.5161
West Virginia,Preston County,34216,2,5.845218611176058,,
Virginia,Fauquier County,72972,2,2.7407772844378666,,
Texas,Webb County,267114,2,0.7487439819702449,,
Utah,Cache County,133154,2,1.5020202171921235,,
Pennsylvania,Bedford County,47577,2,4.20371187758791,,
Oregon,Tualatin,27958,2,7.153587524143358,45.3772,-122.7748
Oregon,Tigard,54832,2,3.6475051065071487,45.4237,-122.7845
Virginia,Fluvanna County,27249,2,7.33971888876656,,
Virginia,Franklin County,54477,2,3.671274115681847,,
Utah,Eagle Mountain,43760,2,4.570383912248629,40.3137,-112.0114
Wisconsin,Brown County,268740,2,0.744213738185607,,
Oregon,Lake Oswego,40786,2,4.903643407051439,45.4129,-122.7004
Pennsylvania,Fayette County,128804,2,1.5527468091053074,,
South Carolina,Anderson County,203718,2,0.9817492808686518,,
Oklahoma,Pontotoc County,38065,2,5.254170497832654,,
Washington,Stevens County,46445,2,4.306168586500161,,
Texas,San Patricio County,68755,2,2.9088793542287834,,
Oklahoma,Grady County,54795,2,3.6499680627794504,,
Tennessee,Bartlett,57791,2,3.4607464830163863,35.2337,-89.8195
Virginia,Prince William County,482204,2,0.41476221682109643,,
Tennessee,Fayette County,41990,2,4.763038818766373,,
Wisconsin,Rock County,163687,2,1.2218441293444195,,
Oklahoma,Creek County,71754,2,2.7873010563871006,,
Wisconsin,Stevens Point,25597,2,7.813415634644685,44.5241,-89.5507
Oklahoma,Comanche County,121125,2,1.651186790505676,,
Tennessee,Gibson County,50429,2,3.9659719605782384,,
Tennessee,Hamblen County,64499,2,3.100823268577807,,
Tennessee,Hardeman County,25462,2,7.854842510407666,,
Texas,Nacogdoches County,64653,2,3.0934372728257005,,
Virginia,Salem,25346,2,7.890791446382072,37.2864,-80.0555
Ohio,Westlake,34283,2,5.83379517545139,41.4524,-81.9294
Tennessee,Marshall County,34318,2,5.8278454455387845,,
South Carolina,Williamsburg County,31026,2,6.44620640752917,,
Texas,Williamson County,609017,2,0.32839805785388587,,
Virginia,Pittsylvania County,60501,2,3.3057304837936563,,
Washington,Skagit County,129523,2,1.5441272978544351,,
Utah,Riverton,45402,2,4.405092286683406,40.5176,-111.9636
Virginia,Henry County,50948,2,3.9255711706053233,,
Virginia,James City County,78254,2,2.555779896235336,,
South Carolina,Chesterfield County,43273,2,4.621819610380607,,
Washington,Spokane County,539339,2,0.3708242867658374,,
Texas,Rusk County,52214,2,3.830390316773279,,
Virginia,Orange County,36254,2,5.516632647432007,,
Utah,South Salt Lake,26382,2,7.580926389204761,40.7057,-111.8986
South Carolina,Lancaster County,96016,2,2.0829861689718383,,
South Carolina,Laurens County,67539,2,2.961252017352937,,
Wisconsin,Muskego,25052,2,7.983394539358135,42.886,-88.1291
South Carolina,Newberry County,37719,2,5.302367507091916,,
Washington,Sammamish,67600,2,2.9585798816568047,47.6017,-122.0416
Wisconsin,Neenah,27330,2,7.317965605561654,44.1669,-88.4767
Ohio,Lorain County,312964,2,0.6390511368719725,,
Alabama,Alabaster,33360,2,5.995203836930456,33.2198,-86.8225
Ohio,Logan County,46150,2,4.333694474539545,,
Florida,Aventura,40225,2,4.9720323182100685,25.9566,-80.1371
Minnesota,Shakopee,43641,2,4.582846405902706,44.7745,-93.4772
Colorado,Summit County,31055,2,6.440186765416198,,
Minnesota,Roseville,36251,2,5.517089183746655,45.0155,-93.1545
Connecticut,Branford,28276,2,7.073136228603763,,
Minnesota,Prior Lake,27624,2,7.2400810889081955,44.7246,-93.4419
Minnesota,Owatonna,26438,2,7.564868749527196,44.0912,-93.2312
Connecticut,Cheshire,28702,2,6.968155529231412,,
Connecticut,East Haven,27936,2,7.15922107674685,,
Connecticut,Enfield,42214,2,4.737764722603875,,
Connecticut,Naugatuck,31593,2,6.330516253600481,41.489,-73.0518
Minnesota,Fridley,29568,2,6.764069264069264,45.0841,-93.2595
Minnesota,Eagan,68905,2,2.9025469849793195,44.817,-93.1638
Minnesota,Douglas County,39006,2,5.127416294928985,,
Minnesota,Cottage Grove,38882,2,5.143768324674657,44.8161,-92.9274
Minnesota,Brooklyn Center,33824,2,5.912961210974456,45.0681,-93.3162
Florida,Osceola County,388656,2,0.5145938825079247,,
Minnesota,Bloomington,90012,2,2.221925965426832,44.8306,-93.3151
Minnesota,Blaine,70293,2,2.8452335225413625,45.1696,-93.2077
Florida,Broward County,1944375,2,0.10286081645773062,,
Florida,Columbia County,69698,2,2.869522798358633,,
Florida,Dunedin,36074,2,5.544159228253036,28.0329,-82.7862
Florida,Lake County,383956,2,0.5208930189917594,,
Michigan,Wexford County,33673,2,5.939476732099902,,
Florida,Leon County,292198,2,0.6844673817069248,,
Florida,Levy County,42915,2,4.660375160200396,,
Michigan,Sanilac County,40611,2,4.924774075989264,,
Michigan,Oakland County,1274395,2,0.15693721334437125,,
Florida,Okeechobee County,39644,2,5.044899606497831,,
Michigan,Muskegon County,175824,2,1.1375011375011375,,
Michigan,Mecosta County,39714,2,5.03600745329103,,
Minnesota,Woodbury,75163,2,2.660883679469952,44.9057,-92.923
Mississippi,Alcorn County,34740,2,5.757052389176741,,
Mississippi,Hinds County,227742,2,0.8781867200604193,,
Colorado,Mesa County,155703,2,1.284496766279391,,
California,Shasta County,182155,2,1.0979660179517443,,
California,Sonoma County,488863,2,0.4091125734612765,,
California,South San Francisco,66119,2,3.0248491356493594,37.6538,-122.4196
Nebraska,Grand Island,53083,2,3.767684569447846,40.9218,-98.3586
California,Sutter County,99633,2,2.007367037025885,,
California,Tehama County,65829,2,3.0381746646614713,,
California,Thousand Oaks,126926,2,1.5757212864188581,34.1914,-118.8756
California,Tulare County,473117,2,0.4227284160154888,,
Montana,Ravalli County,44174,2,4.52755014261783,,
California,Walnut,28522,2,7.01213098660683,34.0334,-117.8593
California,Wasco,27275,2,7.332722273143904,35.5938,-119.3671
California,West Hollywood,35848,2,5.57911180540058,34.0883,-118.3719
Missouri,Wentzville,44559,2,4.488431068919859,38.8153,-90.8669
California,West Sacramento,53666,2,3.7267543696194987,38.5557,-121.5505
Missouri,Stone County,31076,2,6.435834727764192,,
California,Yuba County,81575,2,2.451731535396874,,
Missouri,Newton County,58648,2,3.410175965079798,,
Missouri,Marion County,28525,2,7.011393514460999,,
Missouri,Gladstone,27064,2,7.389890629618682,39.2134,-94.5592
Missouri,Dunklin County,28283,2,7.071385638015769,,
Missouri,Christian County,88842,2,2.251187501406992,,
Missouri,Chesterfield,50014,2,3.9988803135122164,38.6589,-90.5803
Missouri,Buchanan County,84793,2,2.3586852688311533,,
Missouri,Barry County,34534,2,5.79139398853304,,
Colorado,Lafayette,30792,2,6.495193556767992,39.9946,-105.0998
Mississippi,Pontotoc County,31184,2,6.413545407901488,,
Mississippi,Oktibbeha County,51788,2,3.861898509307175,,
Mississippi,Madison County,109145,2,1.8324247560584543,,
Mississippi,Lincoln County,34907,2,5.729509840433151,,
Michigan,Lenawee County,99423,2,2.0116069722297656,,
Florida,Pinellas County,959107,2,0.20852730717219245,,
California,Seal Beach,25272,2,7.9138968027856915,33.7542,-118.0714
Illinois,Williamson County,67153,2,2.9782734948550327,,
Louisiana,Caddo Parish,237848,2,0.8408731626921394,,
Idaho,Jefferson County,30891,2,6.47437765044835,,
Ohio,Licking County,178519,2,1.120328928573429,,
Idaho,Moscow,25414,2,7.869678130164477,46.7308,-116.9986
Kentucky,Taylor County,26023,2,7.685508972831726,,
Kentucky,Perry County,28473,2,7.024198363361782,,
Idaho,Post Falls,38538,2,5.189682910374176,47.7213,-116.9384
Idaho,Rexburg,34931,2,5.7255732730239615,43.8226,-111.7919
Illinois,Highland Park,30217,2,6.618790746930536,42.1823,-87.8104
Kentucky,Greenup County,35962,2,5.561425949613481,,
Kentucky,Grayson County,26420,2,7.57002271006813,,
Kentucky,Graves County,36649,2,5.457174820595378,,
Kansas,Geary County,36739,2,5.443806309371513,,
Illinois,Normal,53585,2,3.7323877950919098,40.5217,-88.9884
Indiana,Bartholomew County,82208,2,2.4328532502919424,,
Florida,Putnam County,73321,2,2.7277314821129006,,
Iowa,Wapello County,35437,2,5.6438186076699495,,
Indiana,Clay County,26466,2,7.556865412227008,,
Iowa,Cedar Falls,40536,2,4.933885928557332,42.5195,-92.4536
Iowa,Bettendorf,39106,2,5.114304710274638,41.5657,-90.4765
Iowa,Ankeny,67892,2,2.9458551817592644,41.7288,-93.6031
Indiana,Delaware County,111903,2,1.7872621824258512,,
Indiana,Greene County,30803,2,6.492874070707399,,
Indiana,Vigo County,106153,2,1.8840729889875936,,
Indiana,Hancock County,79840,2,2.50501002004008,,
Indiana,Porter County,173215,2,1.1546344138787057,,
Indiana,Plainfield,34771,2,5.751919703200943,39.6954,-86.3716
Indiana,Henry County,48914,2,4.088808929958703,,
Indiana,Montgomery County,37936,2,5.27203711514129,,
Indiana,Lake County,498700,2,0.4010427110487267,,
Louisiana,Livingston Parish,142282,2,1.4056591838742778,,
Georgia,Walton County,96673,2,2.068829973208652,,
Maine,Oxford County,57777,2,3.4615850597988818,,
Maryland,Cecil County,103725,2,1.928175463967221,,
Michigan,Hamtramck,28413,2,7.039031429275331,42.3954,-83.0559
Florida,Tamarac,71891,2,2.781989400620384,26.2056,-80.2539
Florida,Temple Terrace,26684,2,7.495128166691651,28.0436,-82.3773
Michigan,Genesee County,406211,2,0.49235495838369714,,
Michigan,Garden City,27360,2,7.309941520467836,42.3244,-83.3412
Florida,Walton County,75305,2,2.6558661443463247,,
Georgia,Baldwin County,43799,2,4.566314299413229,,
Michigan,Clare County,30856,2,6.481721545242416,,
Michigan,Charlevoix County,26054,2,7.676364473785215,,
Georgia,Brookhaven,55143,2,3.6269336089802873,33.8743,-84.3314
Georgia,Catoosa County,67872,2,2.9467232437529467,,
Michigan,Branch County,44862,2,4.458116000178324,,
Georgia,Cherokee County,266620,2,0.7501312729727703,,
Georgia,Colquitt County,45898,2,4.357488343718681,,
Georgia,Coweta County,146158,2,1.368382161770139,,
Massachusetts,Tewksbury,31339,2,6.381824563642745,,
Georgia,Floyd County,98584,2,2.028726771078471,,
Massachusetts,Saugus,28612,2,6.990074094785405,,
Massachusetts,Plymouth,61190,2,3.268507926131721,,
Massachusetts,Peabody,54486,2,3.670667694453621,42.5335,-70.9725
Massachusetts,Milton,28577,2,6.998635266123106,,
Georgia,Haralson County,29919,2,6.68471539824192,,
Massachusetts,Chelmsford,36427,2,5.490432920635792,,
Massachusetts,Burlington,26399,2,7.5760445471419375,,
Massachusetts,Beverly,42714,2,4.682305567261319,42.5681,-70.8627
Massachusetts,Attleboro,46429,2,4.307652544745741,41.9311,-71.295
Massachusetts,Arlington,46374,2,4.312761461163583,,
Massachusetts,Andover,36584,2,5.466870763175159,,
Maryland,Charles County,166617,2,1.2003577065965658,,
Nevada,Clark County,2265461,2,0.08828225248635929,,
Colorado,Pueblo County,168162,2,1.1893293371867604,,
Arkansas,Jefferson County,67260,2,2.9735355337496285,,
California,Brea,47415,2,4.218074449014025,33.9254,-117.8655
North Carolina,Henderson County,116281,2,1.7199714484739552,,
North Carolina,Haywood County,62089,2,3.221182496094316,,
Nevada,Lyon County,59235,2,3.376382206465772,,
Arkansas,Johnson County,25749,2,7.767291933667328,,
Arkansas,Lonoke County,74015,2,2.7021549685874486,,
Arkansas,Pope County,63381,2,3.155519792997902,,
North Carolina,Halifax County,48622,2,4.113364320677882,,
Arkansas,Sebastian County,127799,2,1.5649574722806907,,
North Carolina,Granville County,60992,2,3.2791185729275973,,
North Carolina,Chatham County,76285,2,2.621747394638527,,
North Carolina,Ashe County,26577,2,7.525303834142303,,
California,Jurupa Valley,105107,2,1.9028228376796978,34.001,-117.4706
New York,Webster,45416,2,4.403734366742998,,
California,Calexico,38649,2,5.174778131387617,32.6849,-115.4944
New York,Peekskill,25377,2,7.8811522244552155,41.2884,-73.9227
California,Campbell,44080,2,4.537205081669691,37.2802,-121.9539
California,Chino Hills,78573,2,2.545403637381798,33.9508,-117.7254
California,Claremont,36462,2,5.48516263507213,34.1259,-117.7153
